Price,Close,High,Low,Open,Volume
Ticker,^NSMIDCP,^NSMIDCP,^NSMIDCP,^NSMIDCP,^NSMIDCP
Date,,,,,
2022-09-01,43712.97265625,43847.61854293686,43339.9797224538,43403.07618336627,401200
2022-09-02,43632.72265625,44013.11387413458,43556.27488843645,43963.56403331322,309500
2022-09-05,43581.92578125,43848.6707365855,43517.17700577493,43747.32109080389,245600
2022-09-06,43864.81640625,43894.718182820776,43570.821982759095,43806.06752060343,382400
2022-09-07,44018.61328125,44117.060630431086,43701.47086645761,43766.41885180991,275000
2022-09-08,44136.61328125,44341.41018369286,44001.36584280598,44331.01194313319,360500
2022-09-09,44109.11328125,44476.90709222524,43950.56550473127,44476.805531649974,355100
2022-09-12,44634.80078125,44676.79998364621,44244.761313461124,44267.85853107354,270400
2022-09-13,44927.796875,44985.698121288435,44723.00388165112,44886.54765683863,417600
2022-09-14,45132.4453125,45279.29018535993,44236.360734950584,44238.41147732952,452100
2022-09-15,45412.5390625,45508.838021413714,45006.84752095052,45407.89071296415,383100
2022-09-16,44092.515625,45402.44000926507,43820.41922109856,45274.89164616831,577900
2022-09-19,44237.51171875,44516.50642206967,43699.9711426421,44254.40983544132,375100
2022-09-20,44734.8515625,45041.89652572282,44608.00630977136,44654.005438159016,336100
2022-09-21,44020.3125,44957.896257959816,43920.814389450505,44751.54861396298,298600
2022-09-22,44206.359375,44296.10766993888,43622.222035090956,43856.166809298156,287200
2022-09-23,43414.2265625,44370.65762341383,43352.92694502276,44291.70990348567,292400
2022-09-26,42235.25,43080.28475937276,42026.652392515134,43070.98415446243,339900
2022-09-27,42347.0,42739.19180240783,41915.308944522556,42458.595545979595,291500
2022-09-28,42083.00390625,42503.34360303502,41860.40655880702,42043.00466366733,297600
2022-09-29,41948.453125,42698.688873124964,41858.0564047239,42463.04491204227,407000
2022-09-30,42384.64453125,42460.39309313671,41533.910682733665,41913.00504799277,348800
2022-10-03,41411.46484375,42521.74457423367,41133.368553921246,42421.29725995233,252700
2022-10-04,42380.59375,42422.893728093164,41901.95440050626,42208.69857630273,244900
2022-10-06,42716.94140625,42842.18903542365,42517.74595809286,42674.69220598983,247600
2022-10-07,42645.890625,42729.13904655593,42239.94910316458,42722.490735112224,325400
2022-10-10,42291.6484375,42413.345351950906,41892.55833791617,42122.00321218777,216300
2022-10-11,41513.9140625,42505.74686638033,41406.01766565389,42505.74686638033,212100
2022-10-12,41846.85546875,41900.05758560696,41233.86708445272,41643.31245074835,196000
2022-10-13,41437.21484375,41939.95531777614,41311.467226427696,41846.65630436464,179900
2022-10-14,41287.01953125,42120.00376917893,41237.46968760256,42107.70322068498,192100
2022-10-17,41555.01171875,41610.56144520049,40952.870808682535,41238.96693867949,184100
2022-10-18,41983.8046875,42034.752939225014,41742.508486180566,41756.50822045814,287200
2022-10-19,41932.70703125,42249.099485608276,41873.45815167635,42155.902029269426,195200
2022-10-20,42339.0,42426.6467797873,41690.76226048388,41792.70955104761,228200
2022-10-21,41776.7578125,42482.34207598568,41608.761001264,42432.893795818345,222700
2022-10-24,41911.20703125,42219.25198422545,41842.70832725972,42214.95128434559,34900
2022-10-25,41914.0078125,42020.35345680275,41638.712239551416,41978.604246653704,244600
2022-10-27,42394.49609375,42488.2443143204,42033.651380422816,42168.301168392914,253000
2022-10-28,42188.75,42467.59236356566,41973.45330527914,42466.295513181074,218200
2022-10-31,42623.04296875,42679.88954657424,42307.4981736411,42325.59548657037,254800
2022-11-01,43058.234375,43104.733493352825,42738.388876935,42764.33760368381,226500
2022-11-02,42967.63671875,43140.9850033066,42862.88869949114,43069.03714506044,197300
2022-11-03,43017.734375,43060.58121808698,42683.2407231425,42726.489902343805,189500
2022-11-04,43096.484375,43146.381867257594,42856.58657579848,43081.73465441407,226500
2022-11-07,43283.6796875,43353.3268050475,42979.33389296292,43311.67915685393,371000
2022-11-09,43198.87890625,43515.02524663136,43086.982593572364,43454.073279060955,316700
2022-11-10,42777.2890625,43168.379290490346,42540.79355443028,43073.28344046463,275200
2022-11-11,43188.1796875,43328.42702365439,43032.93263624889,43223.378237691824,627500
2022-11-14,43419.07421875,43495.87354212823,43214.0312360548,43283.02992626146,367000
2022-11-15,43491.77734375,43536.823365076554,43259.43018449348,43529.475848070375,228700
2022-11-16,43173.08203125,43557.02789580463,42961.73837152461,43538.42668505494,266600
2022-11-17,42848.13671875,43174.23209772568,42768.38823096619,43147.93181519001,294000
2022-11-18,42604.94140625,43042.73387869249,42377.24650889242,42994.9340046302,262300
2022-11-21,42370.74609375,42585.492015385214,42289.196861248936,42570.44151996793,223700
2022-11-22,42472.49609375,42512.44455563307,42259.64856387729,42397.99750520656,243000
2022-11-23,42553.59375,42669.24390680814,42489.44652552257,42631.04541039085,250000
2022-11-24,42716.79296875,42747.140050554706,42615.544885292926,42679.59054796122,271600
2022-11-25,42834.5859375,42865.48769509567,42619.64079589756,42849.88642852544,254000
2022-11-28,42928.48828125,43103.98495965502,42843.540670288596,42873.83697187579,242900
2022-11-29,43146.28515625,43283.930989240296,42957.636382078184,42995.084892234205,223300
2022-11-30,43687.0703125,43836.66903923087,43202.68105700395,43236.62963223028,789700
2022-12-01,43856.6171875,43972.91576237717,43732.521885539405,43926.66663979813,298000
2022-12-02,43919.66796875,43955.91728202893,43719.620977267914,43918.019562478046,289400
2022-12-05,43844.41796875,44069.96446982601,43593.1727366063,44027.613711012236,258000
2022-12-06,43805.3671875,43914.865107716236,43708.771365973626,43780.36766233647,207000
2022-12-07,43891.3671875,44084.51586980699,43766.869547552415,43935.86634394713,192800
2022-12-08,44067.61328125,44097.41349720689,43923.518358398534,44000.61455217769,238000
2022-12-09,43797.76953125,44309.556683770774,43498.97442624487,44259.60841389379,303900
2022-12-12,43806.06640625,43851.967878169635,43409.77705817832,43797.96890380005,201100
2022-12-13,43733.5234375,44004.21753046712,43667.122351101236,43964.11672730401,170400
