Date,Average Volume
2024-09-19,266236.6666666667
2024-09-20,273610.0
2024-09-23,273413.3333333333
2024-09-24,276886.6666666667
2024-09-25,278180.0
2024-09-26,280433.3333333333
2024-09-27,287723.3333333333
2024-09-30,291040.0
2024-10-01,291343.3333333333
2024-10-03,296886.6666666667
2024-10-04,302040.0
2024-10-07,307623.3333333333
2024-10-08,311720.0
2024-10-09,313963.3333333333
2024-10-10,315330.0
2024-10-11,310546.6666666667
2024-10-14,296153.3333333333
2024-10-15,297300.0
2024-10-16,297790.0
2024-10-17,297756.6666666667
2024-10-18,300046.6666666667
2024-10-21,297723.3333333333
2024-10-22,298560.0
2024-10-23,299670.0
2024-10-24,297586.6666666667
2024-10-25,297336.6666666667
2024-10-28,298263.3333333333
2024-10-29,303706.6666666667
2024-10-30,306013.3333333333
2024-10-31,308390.0
2024-11-01,299200.0
2024-11-04,290946.6666666667
2024-11-05,293623.3333333333
2024-11-06,292523.3333333333
2024-11-07,293980.0
2024-11-08,291573.3333333333
2024-11-11,284343.3333333333
2024-11-12,281433.3333333333
2024-11-13,283340.0
2024-11-14,277816.6666666667
2024-11-18,274096.6666666667
2024-11-19,271536.6666666667
2024-11-21,274440.0
2024-11-22,277006.6666666667
2024-11-25,291200.0
2024-11-26,291873.3333333333
2024-11-27,294826.6666666667
2024-11-28,298476.6666666667
2024-11-29,300320.0
2024-12-02,299240.0
2024-12-03,300860.0
2024-12-04,304393.3333333333
2024-12-05,307126.6666666667
2024-12-06,305196.6666666667
2024-12-09,306243.3333333333
2024-12-10,302523.3333333333
2024-12-11,299480.0
2024-12-12,297283.3333333333
2024-12-13,298113.3333333333
2024-12-16,294800.0
2024-12-17,302336.6666666667
2024-12-18,300663.3333333333
2024-12-19,300050.0
2024-12-20,303103.3333333333
2024-12-23,298690.0
2024-12-24,294656.6666666667
2024-12-26,291466.6666666667
2024-12-27,288833.3333333333
2024-12-30,290843.3333333333
2024-12-31,288706.6666666667
2025-01-01,285093.3333333333
2025-01-02,284616.6666666667
2025-01-03,281016.6666666667
2025-01-06,278033.3333333333
2025-01-07,263870.0
2025-01-08,265060.0
2025-01-09,264200.0
2025-01-10,260676.66666666666
2025-01-13,261823.33333333334
2025-01-14,264850.0
2025-01-15,261133.33333333334
2025-01-16,259513.33333333334
2025-01-17,256560.0
2025-01-20,259053.33333333334
2025-01-21,261213.33333333334
2025-01-22,261713.33333333334
2025-01-23,264656.6666666667
2025-01-24,264596.6666666667
2025-01-27,262840.0
2025-01-28,268650.0
2025-01-29,267363.3333333333
2025-01-30,271583.3333333333
2025-01-31,272710.0
